,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
419,Healthcare Social Workers,0.12,2.12,3.62,0.75,4.25,0.75,0,0,1.5,0,3.12,2.12,3.12,3.88,0,1.38,0.88,1.75,4,3.38,0.12,2,2.88,0.75,3.88,0,2.12,4.5,4.38,3.62,2.75,0,4.38,0,2,1.88,3,0,0,3.75,4.25,3,0,0.88,1.62,2.88,2.25,1.62,2.25,0,4.25,4.25,3.04,1.48,0.08,0.8,3.92,2.54,3.24,6.12,0.2,1.8,5.04,0.32,5.2,0.12,0.12,1.88,1.88,1.36,3.04,2.4,0.44,3,2.67,3.72,0.04,0.52,6.48,2.08,2.4,4.76,0.92,6.84,1.92,3.88,4.75,3.62,4.12,4.12,0,0.25,0,3.25,4,3.75,0.88,1.12,3.25,2.12,3.88,3,1,0.88,3.25,3.62,0.75,1,4.25,0,2.75,4.25,5.25,4.25,2.25,3.62,0.62,3.5,0,4.25,5,Human Services,HumServ
420,Hearing Aid Specialists,3.25,3,3,3,3.25,2.5,0,0,0,0,3,3.38,3,2.75,0,0,0,3.25,3.38,2.88,3,2.25,2.62,2.25,3.88,0,2.62,3.88,3.75,2.75,2.75,0,3.38,0,0.5,0.75,3,0.5,0,3.5,3.75,3,0,0,1.25,2.5,0.5,2.62,2.88,0.25,3.62,3.25,2.34,1.89,0.65,1.39,2.94,2.52,4.9,5.47,0.23,1.3,5.22,2.36,3.87,0.71,0,1.04,0.76,0.68,2.24,3.7,1.48,2.38,3.27,1.24,1.21,2.15,4.29,1.72,5.16,2.35,1.37,3.71,0.76,3.38,3.88,3.25,3.25,3.75,2.12,2,0,3.38,3.5,3,1.5,1.88,2.62,2.62,3.25,3,0.5,2.88,1.12,3.38,0.88,3,3.5,2.12,0.88,3.5,3.25,3.88,2.75,3,1.75,2.75,2.38,3.12,3,Health Science,HealthSci
421,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",3,3.25,3.38,3.62,3,3.12,0.25,2.38,1,3.12,3,3,3,1.88,1.88,2.5,1.5,2.88,2.88,3.25,3.12,2,2,3.38,3.38,0.75,2.12,3.25,3.38,1.88,3.38,1.75,3.12,3,3.75,3,3.75,1.75,1.75,2.62,2.62,2.25,2,3,3.62,2.5,3.25,2.75,3.12,2,3,2.62,2.35,0.55,1.12,3.16,1.25,1.49,1.95,2.51,2.38,0.65,3.12,2.5,2.23,0.02,0.32,0.34,0.55,0.02,1.06,3.15,2.75,0.55,1.01,0.73,2.21,4.22,1.78,1.97,1.08,0.43,0.54,0.44,1.25,2.62,2.88,2.62,2.88,3,3.12,2.62,0.25,3,2.62,2.75,0.62,1.38,2.25,2.88,3.38,1.62,3.88,3.75,1.62,1.88,0.88,3.25,3,2.88,1.12,1.88,2.5,2.62,2.12,1.88,0,2.62,2.75,2.62,2,Manufacturing,Manu
422,Heating and Air Conditioning Mechanics and Installers,3,2.75,2.88,3.12,3.38,2.5,0.62,2,0.88,3.88,3.12,3.38,3,2.75,1.75,2.62,2.88,2.88,3.38,3.62,3,2.75,2.62,3.25,3.88,1.12,2.62,4,3.88,2.75,3,1.25,3.62,2,3,2.62,3.12,1.75,2.38,3,3.25,2.75,2.5,2.25,3.38,2.75,3.12,3.12,4,2.12,3.12,3,2.92,1.15,4.94,3.48,2.32,1.31,3.25,4.72,4.02,1.24,2.71,3.81,3.08,0.04,0.15,0.81,1.12,0.38,2.28,3.63,5.35,0.55,2.47,0.61,4.14,2.25,1.67,2.79,3.04,0.68,1.51,0.58,1.91,3,3.25,3,3.12,3.25,3.62,2.62,3.62,2.75,3,2.5,1.12,1.5,2.38,2.88,3,2.12,3.12,3.12,2.12,2.62,0.38,3.38,3.38,3.88,1.12,2.62,3,3.12,2.88,3,1.88,3,3.88,3,3,Architecture & Construction,ArchitCons
423,Heavy and Tractor-Trailer Truck Drivers,2.88,2.75,3,4,3,3,0.5,2.5,0.75,2.5,3.75,2.75,2.12,2.12,2.75,2.38,2,3,3,3.12,3,1.88,2,3.88,3.25,2.88,2,3.12,3.25,2.25,2.88,2.88,3,3.75,3.88,3.75,3.12,2.75,3.12,3,2.88,2,2.62,2.25,3.62,2.88,2.75,2.88,2.88,2.62,3,2.25,2.49,0.51,1.06,1.77,2.21,1.9,1.75,4.12,1.04,1.16,2.87,1.48,3.29,0.01,1,0.84,2.62,0.31,2.24,2.32,3.41,0.95,1.47,0.4,1.51,1.47,1.94,3.49,1.39,0.68,1.68,0.48,4.17,2.25,3,2.88,2.25,3,2.75,1.88,0.75,2.12,2.75,2.12,1.62,2,2.12,2.12,3,2,3.5,3.12,1.12,2,0.12,2.75,3,2.75,0,2.12,2.38,3,2,2,0.62,3,2.75,2.5,2,"Transportation, Distribution & Logistics",TransLog
424,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2.88,2.88,2.38,3,2.25,3.12,1.38,3,1.5,3.62,3,3,2.5,1.88,2.5,2.88,3,2.25,2,2.38,3,1.75,1.75,3.25,3,1,1.88,2.88,2.75,1.75,2.5,1.75,2.5,2.62,3,2.12,2.75,1.38,2.25,2.25,2.25,1.88,2.75,3,4.12,2.12,3.75,3.12,3,2.75,2.12,1.5,1.62,0.37,4.67,2.02,0.64,0.26,0.51,1.89,2.98,0.61,1.65,2.48,2.29,0.34,0.31,0.6,0.37,0.19,0.95,2.63,3.71,0.29,0.8,0.12,1.61,2.05,0.85,2.03,0.66,0.41,0.33,0.31,1.28,2.12,2.25,2.38,3.12,2.38,2,1.88,0.25,2.38,2.38,2.12,0.62,1.5,1.75,2,2.62,1.5,2.38,2.5,0.88,1.62,0,2.38,2.12,2,0.25,1.75,2.25,2,1.75,1.62,0.88,2.5,2.25,1.75,2,Architecture & Construction,ArchitCons
425,Helpers--Carpenters,3,2.12,2.75,2.88,2.88,2.88,0.25,2.75,1,3.38,2.88,2.88,2,2.25,2,2.75,2.5,2.12,2.25,2.75,2.88,2,2.25,3,3.12,1.88,2.25,3.25,3,2.38,2.25,1.5,3,2.12,3,2.25,2.88,1.75,1.88,2.38,2.5,2.12,2.12,2.75,3.5,2.25,3,2.38,3.38,2,2.25,2,3.16,0.81,5.38,3.15,2.26,1.47,1.63,3.89,3.56,1.3,3.32,3.14,3.88,0.37,0.28,1.1,0.67,0.47,1.79,3.59,4.92,1.36,1.28,0.75,2.35,3.48,2.15,4.21,1.37,1.16,1.81,1.08,3.16,2.12,3,2.12,3.12,2.75,2.12,2.12,1.5,2.12,2.12,2,0.88,1,2,2.25,2.38,2,2.12,2.12,0.62,2,0,2.62,2.25,2.12,0,2.12,2.25,2.38,1.25,1.38,1,2.25,2.12,2.38,2,Architecture & Construction,ArchitCons
426,Helpers--Electricians,3.12,2.12,2.75,3,2.75,2.5,0.62,2.38,0.62,3.88,2.5,3.12,2.5,1.88,1.75,2.88,3.12,1.25,2.88,3,3.75,1.38,2,3,3.75,0.75,1.5,3.5,2.88,2,2.12,0.75,3,1,2.38,1.88,2.88,0.25,1.25,2.62,2.75,0.75,2,2.5,3.12,2.12,3.12,3.5,3.38,1.75,2.75,2.12,1.9,0.05,3.71,0.98,0.89,0.7,1.49,3.76,3.4,0.22,2.65,2.69,4.15,0.01,0.02,0.47,0.69,0.02,2.01,2.72,4.96,0.12,0.64,0.12,2.71,1.47,1.37,2.49,1.21,0.51,2.02,0.11,2.9,2.38,2.88,2.38,2.88,2.75,2.62,2.12,2.5,1.88,2.38,1.88,0.12,0.75,1.5,1.38,2.25,1.12,2.62,2.5,0.5,1.25,0,2.62,2.75,2.62,0.75,1.75,2,2.38,0.75,1,0.12,2,2.62,2,2,Architecture & Construction,ArchitCons
427,Helpers--Extraction Workers,3.12,3.25,2.88,3.75,2.88,3.38,0.5,3,1.12,3.62,3.38,3.25,2.88,2.25,2.75,3,3,3.12,2.88,2.88,3.25,2,2.12,3.88,3.12,1.5,2,2.88,2.75,2.25,2.75,2.25,3,3.12,3.88,3.25,3,2,2.88,2.38,2.75,2.12,2.62,3,3.88,2.75,3.88,2.62,3,2.25,2.38,2.12,2.63,1,2.49,2.22,1.65,1.21,1.59,2.94,1.55,1.68,2.61,2.86,2.71,0,0.26,0.52,1.38,0.03,1.94,2.82,4.44,0.8,1.92,0,2.46,2.93,1.25,3.32,1.75,0.43,0.82,0.37,3.31,2.62,2.62,2.62,3.25,2.88,3.12,2.75,0.38,2.25,2.62,2.25,0.88,1.5,2,2.25,3.12,1.88,3,3.38,0,2,0,2.62,2.5,3.12,0.5,2,2.38,2.38,1.88,1.62,1,2.25,3,2.25,2,Architecture & Construction,ArchitCons
428,"Helpers--Installation, Maintenance, and Repair Workers",3,3,2.88,3.25,2.88,2.75,0.5,2.5,1.12,4,2.88,3.12,3,2.25,2.25,2.75,2.5,3,2.88,3,3,1.5,2.12,3,3.12,1.38,1.5,3.62,3,2,3,1.5,2.88,2.12,3,2.5,2.88,2,1.75,2.5,2.62,2.12,2.25,2.88,3.62,2.5,3.38,3.38,3.5,2.12,2.38,1.62,1.5,0.68,2.6,2.32,1.55,1.35,2.1,2.67,1.73,0.69,1.58,2.17,2.76,0.23,0.23,0.24,0.59,0.24,1.15,2.82,3.83,0.41,0.81,0.28,2.42,1.5,0.77,2.01,0.72,0.43,1,0.48,1.47,2.62,2.88,2.38,3,3.12,3.25,2.38,2,2.38,2.62,2.25,0.25,0.75,1.5,1.5,3,1.5,3.12,2.88,0.75,1.88,0.62,3,2.38,3,0.25,2.38,2.25,2.62,1.88,1.75,0.88,2.5,2.88,1.75,2,Architecture & Construction,ArchitCons
429,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2.88,2.25,2.38,2.25,2.25,2.13,0.5,2.63,0.5,3.75,2.88,2.88,2,1.63,1.75,2.88,3,2.13,2.25,2.13,2.88,0.25,1.5,2.63,2.75,1.38,0.38,2.13,2.5,1.88,2.25,1.88,2.38,1.5,2.13,1.88,2.38,1.25,1.63,2.25,2.63,1.75,2.25,2.63,3.63,1.88,3.63,2.75,2.25,1.13,1.88,1.5,2.25,0.17,3.59,1.04,0.73,0.13,0.34,1.71,1.98,0.81,1.72,0.82,2.09,0.1,0.24,0.77,0.31,0.14,0.6,1.74,1.44,0.18,0.88,0.3,0.62,0.98,0.8,1.75,0.78,0.24,0.17,0.18,1.25,2,2.25,2.12,2.62,2.25,2.12,1.62,0.12,2,2.12,2.12,0,0.12,2,0.25,2.38,1.75,2,2.38,0,1.75,0,2.38,1.75,2.12,0.12,2.25,2.25,2,1.12,1.12,0,2.5,2.38,1.75,1,Architecture & Construction,ArchitCons
430,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3,2.12,2.75,3.12,2.75,2.25,0.75,2.62,0.88,3.75,2.12,2.88,2,2,1.62,2.38,2.38,1.38,2.5,3,2.88,1.5,1.12,3,3,0.88,1.38,3.25,2.88,2,1.88,0.88,2.62,1.25,2.38,1.88,2.38,0.75,1.88,2.38,2.5,1.38,2.12,2.12,3.38,2,3.25,1.75,3.12,2,2.12,1.12,2.74,0.3,4.64,1.48,2.1,0.64,1.27,4.09,3.11,1.2,2.99,2.59,2.69,0,0.01,1.13,0.75,0.16,1.67,3.5,4.42,0.12,1.8,0.06,1.91,2.23,0.4,2.3,1.77,0.16,0.52,0.1,2.5,1.88,2.38,2,3,2.38,1.75,2,1.5,2.12,2.12,1.88,0.75,1.25,1.38,1.38,2.25,1.62,2,1.88,0.25,1.62,0,2,2,2.62,0.12,1.75,2.12,2.25,1,0.88,0.62,2.12,2,1.5,2,Architecture & Construction,ArchitCons
431,Helpers--Production Workers,3.12,2.88,2.75,3.38,2.62,2.75,0.38,2.12,1.12,3.12,2.75,3,2.12,1.62,0.88,2,1.75,2.12,2.75,2.62,3.12,1.62,1.12,3,3.25,0.88,1.75,2.88,2.88,1.62,3,1.12,2.75,2.25,3,2.25,2.75,0.75,1,2.12,2.25,1.75,2,2.75,3.25,2,3.38,2.38,2.62,1.88,2.25,2,1.38,0.43,1.33,1.54,0.71,1.15,1.61,1.21,1.27,0.61,2.17,1.65,2.43,0.33,0.79,0.47,0.44,0.34,1,2.52,2.64,0.6,1.03,0.51,0.9,2.74,1.21,1.85,0.71,0.54,0.89,0.55,1.27,1.88,2,2,2.38,2.25,1.75,1.5,0,2,1.88,1.88,0.62,0.75,1.62,1.75,2.38,1,2.5,2.5,0.62,1.38,0.25,2.25,2.25,1.75,0.25,1.5,2,2.12,1.12,1.12,0.25,1.88,1.88,1.62,2,Manufacturing,Manu
432,Helpers--Roofers,2.75,3,2.5,2.75,2.5,2.75,1.25,3.38,1.25,3.88,2.88,3,3,2.12,2.5,3,4,2.25,2.38,2.25,3.12,1.75,1.88,2.88,2.62,1.38,1.75,2.75,2.5,1.75,2.62,1.62,2.88,2.12,2.88,2.25,2.5,1.88,2.25,2.12,2.62,2,2.62,3.38,4,2,4.12,2.12,3,2.38,2.62,1.88,2.46,0.54,3.95,1.93,1.03,0.88,0.38,3.21,1.71,0.84,3.22,1.05,1.86,0.14,0.42,1.78,0.41,0.24,0.54,4.26,2.74,1.87,1.17,1.18,1.04,0.68,2.17,3.19,1.45,0.62,0.77,0.91,2.38,2.12,2.5,2.62,3.75,2.25,2.38,2.25,1,2.12,2.38,2.25,1.12,1.38,2.25,1.75,2.5,1.75,2.12,2,0,1.75,0.38,2.62,2.25,2,0,2.12,2.12,2,2,1.75,0.88,2.5,2.25,2.12,2,Architecture & Construction,ArchitCons
433,Highway Maintenance Workers,3,3.25,2.88,3.75,2.88,2.88,0,2.5,1.12,3.25,3.12,3,3,2,2.12,2.38,2,2.88,2.88,2.88,3.12,2,1.88,3.88,3,1.75,2,3.38,3,2,2.88,2,3,2.88,3.12,3.12,3,2.12,2.5,2.75,2.88,1.88,2.88,3.12,3.62,3,3.25,2.62,3.12,2.12,2.75,2.38,2.3,1.9,3.5,2.67,2.26,2.55,1.44,4.41,2.52,3.03,2.77,3.66,3.5,0.48,0.49,1.11,1.88,0.49,2.17,2.7,4.19,0.59,1.7,0.89,2.11,3.17,2.9,4.44,1.17,1.38,1.86,0.88,3.34,2.12,2.88,2.75,3.5,2.75,2.25,1.5,0.5,2.12,2.62,1.75,0.62,0.62,1.88,1.88,2.75,2.12,3.12,3,0.12,2.38,0.12,2.88,2.75,2.25,0,2.25,2.62,2.75,1.88,1.75,0.62,2.5,2.75,1.88,2,Architecture & Construction,ArchitCons
434,Historians,0.5,1.88,3.38,0.88,3.62,0.62,0,0.62,0,0.5,2.38,0.5,2.75,3.5,0.25,0.5,0,0.38,3.88,3.25,1,1.5,2.12,0.38,3.88,0,1.25,4.62,4.75,3.12,2,0,3.5,0,0,0,2.75,0,0,3.88,3.5,1.88,0.12,0.62,0,2,1.88,1.25,1.88,0.5,5,4.88,3.58,1.39,1.93,1.73,4.03,3.04,3.85,3.81,2.65,1.57,4.02,1.22,4.5,3.56,0.67,1.85,4.42,5.44,2.02,2.79,1.39,0.68,1.56,3.5,0.8,2.1,2.29,2.24,2.44,3.74,1.07,0.52,1.56,3.75,4,3.12,3,4.12,0,0,0,3.38,3.38,3.62,0.88,1.12,2.88,1.12,3.12,2.25,0,0.62,1.88,3,0.38,0.75,4.88,0,2.62,2.25,3.38,4.12,2.25,2.25,0.5,2.88,0,4.88,5,"Science, Technology, Engineering & Mathematics",SciEng
435,"History Teachers, Postsecondary",0,0.75,3.12,0,3.88,0,0,0,0,0,2.88,0.38,2.12,3.38,0,0,0,0.38,4.12,3.88,0,2.25,3.25,0,3.75,0,1.88,5,5,3.12,1.88,0,3.25,0,0,0,3,0.12,0,4.62,3.38,2.25,0,0.12,0,2.12,1.38,1,1.38,0,5.12,4.75,2.78,0.43,0.04,0,3.83,4.56,3.95,3.68,0.45,0.98,5.86,0.02,6.39,3.24,0.27,3.76,5.64,6.66,3.78,2.63,0.1,0.24,2.11,5.91,0.25,0.21,3.14,1.52,1.05,4.82,1.16,1.78,1.1,4.12,4.12,3.5,3.12,4,0,0,0,4.12,3.88,4.25,0.75,0.62,2.88,2,3.88,3,0,0,2.62,3,0.12,0.5,4.88,0,2.25,3,3.5,4.75,3.12,3.12,0,3.5,0,5,5,Education & Training,EduTrain
436,Histotechnologists and Histologic Technicians,3.75,2,3.5,3.25,3.12,2.25,0,1.25,0,1.12,3,4.12,4,2.38,0,1.12,0.5,2,3,3.75,3.12,2.75,2.25,2.62,4.62,0,2.88,4,4,2.12,3,0,3.88,2.12,2.75,1.88,3.12,0,0,3,3,2.62,0,1,2,2.38,2,3.38,2.88,2.12,3.88,3.12,3.08,4.12,0.15,4.3,3.32,1.3,3.05,3.7,0.88,1.2,3.38,1.52,3.51,0.12,0,0.15,0.1,0.05,1.64,3.22,2.18,2.52,2.36,0.02,1,2.77,1.08,2.13,1.02,0.6,0.58,0.3,0.8,3,3.25,3.12,3,3.25,2.75,2.25,0,3,3.12,3,1.25,1.62,2.88,2.88,3.12,2.12,2.62,2.88,0.12,2.75,0.75,2.88,3.75,2,3.12,2.12,2.75,3,2.12,2.12,1,3.12,2.38,3.12,3,Health Science,HealthSci
437,Hoist and Winch Operators,2.63,2.88,2.63,3.88,2.38,3.5,0.13,2,0.13,3.5,2.75,2.75,2.5,2.13,2.38,2,2.5,2.88,2.63,2.88,2.75,1.5,2.25,3.63,2.75,1.63,2,3.63,2.88,2.13,3.38,2,2.88,2.63,3.5,3.25,2.75,2.13,1.75,2.38,2.5,2,2.38,1.88,3.13,2.63,2.63,2.38,2.88,2,2.5,2.13,2.71,0.23,1.42,0.84,0.41,0.25,1.27,3.12,2.31,0.31,2.16,2.39,1.83,0.09,0.19,0.18,0.3,0.15,0.72,2.23,4.02,0.57,1.14,0.12,2.19,2.42,0.29,3.1,0.33,0.29,0.63,0.46,2.57,2.12,2.38,2.38,3.38,2.62,2.5,2.5,0.12,2.5,2.5,2.5,1.12,1.12,2.5,1.88,2.62,2.12,2.88,3,1.12,2.25,0,2.5,2.38,2.75,0.5,2.25,2.25,2.25,1.75,1.62,0,2.75,2.38,2.25,2,Architecture & Construction,ArchitCons
438,Home Appliance Repairers,3.62,2.75,3,3.12,3,2.25,0.12,2,1.25,3.62,2.25,3.75,3,2.75,1.38,2.12,1.88,3.62,3,3,3.38,2.12,2.12,3,3.25,1.38,2.5,3.25,3.12,2.12,2.88,1.5,3.12,1.88,2.12,2.12,3,1.5,1.12,2.75,2.75,2.12,0.75,2.38,2.88,2.88,3,3.25,3.75,2,3,2.88,3.21,0.79,1.32,2.06,3.79,1.06,4.18,4.73,1.99,1.78,2.98,3.1,2.9,0,0.54,1.03,1.92,0,1.2,2.86,4.4,0.27,2.26,0.39,2.22,2.04,1.94,1.68,2.91,0.8,0.82,0.48,1.99,2.25,3.12,3,2.75,3.25,3.12,2.88,2.38,2.5,3,2.12,1.25,1.75,2.12,2,2.88,2.12,3,3.25,1.62,2.12,0.62,3.62,2.88,3.88,1.25,2.88,2.75,3,2.12,2,1,3,3.62,2.75,2,Manufacturing,Manu
439,"Home Economics Teachers, Postsecondary",0,1.38,3.25,0,4,0.62,0,0,0,0,3,1.75,2.5,3,0,0,0,1.12,3.88,3.38,0,2.75,3,0,3.62,0,2.38,4.62,4.88,3.25,2.25,0,3.38,0,0,0,2.88,0,0,4.75,3.38,2.25,0,0,0,2.38,2.12,1.75,2.25,0,4.5,4.25,3.15,2.01,0.62,1.66,3.83,3.5,4.6,3.77,1.66,2.17,6.01,1.04,5.66,1.31,1.9,2.1,3.13,3.17,2.87,3.87,0.92,1.51,3.57,3.69,0.7,1.38,4.77,2.51,2.19,5.05,0.89,3.69,1.62,4.12,4.38,3.38,3.12,4,0,0,0,4.25,3.62,4.38,0.75,1.12,3,2.88,4,2.62,0,0.88,2.5,3.12,0.5,1.62,4.5,0,2.5,3,3.25,4.5,3.12,3.12,0.5,3.38,0.5,4.25,5,Education & Training,EduTrain
440,Home Health Aides,3,2,2.88,2,3.12,2,0,2.12,1.75,2.88,2.88,3,2.88,2.88,0.25,2.5,2.12,2.12,3.12,3,2.38,2,1.88,2.12,3.5,0.25,2,3.75,3.88,2.88,2.25,0.25,3.5,0.25,1.88,2,3,0.38,0.88,3.12,3.12,2.25,1.62,2.5,2.88,2.88,2.88,2.25,2.88,0,3,3,2.3,1.2,0.62,1.09,1.58,1.89,1.58,4,0.97,1.49,2.5,0.8,2.91,0.38,0.83,1.15,1.12,0.79,1.68,1.61,0.96,1.93,1.67,2.08,0.73,0.92,2.87,1.95,1.14,1.47,1.38,1.91,1.28,3,3.62,3,3,3.25,0,0,0,3,3,3,1.25,1.38,2.25,2,3.12,2.75,0.38,2.12,0.25,2.88,0,1.25,3.25,0,0.88,3.38,3.25,3,2,2,0.25,3,1,2.88,2,Health Science,HealthSci
441,Hospitalists,2,2.25,4.25,0.62,5,1.25,0,0.62,1,0.88,3.12,2.75,4,3.88,0,1.5,0.88,2,5.25,4.12,0.88,3.25,3,1,4,0,3.12,5.12,5.12,3.5,3.38,0,5.25,0,2,1.88,3,0,0,3.88,4,3.5,0,1.38,1.88,2.88,2.25,3.12,3,0.38,4.88,4.25,3.12,5.24,0.04,3.72,2.4,1.4,3.54,5.04,0.75,1.88,3.79,1.12,4.38,0,0,1.28,1.56,0.62,2.88,3.42,0.72,6.08,2.54,2.29,2,0.76,5.64,2.17,1.52,3.12,0.88,5.08,0.48,4.5,4.5,4.12,4,4.5,0,0.38,0,4.38,4.12,4,1.12,1.38,3.38,3.25,4.25,3.12,0.5,1,2,3.5,0.62,1.88,5.12,0,3.38,4.12,4.62,4.38,3.5,3.75,0.88,3.62,0.25,4.25,5,Health Science,HealthSci
442,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1.75,2.12,2.5,1.5,2.75,0.62,0,1.38,0.25,1.5,2.88,2,2.5,1.75,0,1.75,0.88,1.38,2.62,2.62,1.88,2,2,1.75,3,0.12,2,3.12,3.12,1.75,1.88,0.12,2.88,0,0,0.25,2.62,0,0.25,3,3.12,2,0.88,2,1.62,2.5,2.75,1.62,1.75,0,2.62,2.38,2.33,0.52,0.47,1.82,1.75,2.47,2.57,3.81,0.98,1.76,2.23,1.05,3.13,0.41,2.96,1.07,0.8,0.41,0.87,2.21,0.71,1.03,1.81,0.84,0.65,1.79,2.12,2.51,2.83,1.18,1.21,0.78,1.45,2.38,2.88,1.75,3,2.62,0,0,0,2,1.88,2.12,0.25,0.25,2.12,1.88,2,2.62,0.25,0.5,0,2.75,0.25,0.62,2.38,0,0,3.12,2.88,2.88,1.88,1.62,0.12,2.38,0.25,2.12,2,Hospitality & Tourism,HospTour
443,"Hotel, Motel, and Resort Desk Clerks",2,2.12,3,1.75,3,0.5,0,0.88,0.75,0.62,2.75,2,2.25,3,0,0.5,0.62,1.88,3,3,2,2,2.5,0.75,3.5,0,2.38,3.75,4,2.38,2.38,0,3,0,0,0,2.88,0,0.75,3.25,3.62,2.12,0,0.5,1,2.25,2,2,2.12,0.38,3.12,3,2.81,0.55,0.9,1.72,4.23,2.05,3.31,4.38,0.84,2.71,2.38,1.39,4.07,0.45,1.66,1.73,1.61,0.75,1.6,2.98,1.62,1.48,2.03,1.35,0.56,1.76,1.88,3.14,2.68,1.34,1.11,1.25,1.74,2.25,3.25,2.75,3.12,3.5,0,0,0,2.88,2.88,2.62,0.88,0.75,3,2.12,3,2.88,0.12,1.5,0,2.88,0.88,1.38,3.5,0,0,3.62,3.25,3,2.12,2.25,0.88,3,0.5,2.88,2,Hospitality & Tourism,HospTour
444,Human Factors Engineers and Ergonomists,0.25,2.12,4,0.38,4.88,1.75,0,0,0,0,3.25,2.12,3.38,4,0,0,0,1.88,4.5,4,0.12,4.38,2.75,0.25,3.75,0,3.75,5,4.62,3.88,2.88,0,4.5,0,0,0.25,3,0,0.62,3.75,3.75,3.12,0,0,0,2.25,0.25,2.38,3.75,0,4.75,4.38,4.12,2.62,1.5,1.87,3.12,2.42,4.46,3,4.42,1.42,5.29,5.17,5.17,0.5,0.17,0.92,0.38,0.42,3,5,3.33,2.04,2.67,1.33,3.04,2.71,5.42,3.88,2.62,4.71,1.83,0.83,2.42,4,4.25,4.12,3.75,4.38,0,1.75,0,3.75,4.38,3.75,2.25,2.38,3,4.12,4.12,2.88,0.62,2.12,3.5,3.38,2.5,2.75,4.75,0,3.12,2.88,3.62,4.38,3.62,4.12,3.75,3.38,2.38,4.38,5,"Science, Technology, Engineering & Mathematics",SciEng
445,"Human Resources Assistants, Except Payroll and Timekeeping",0,1.25,2.88,0,3.12,0.25,0,0.38,0,0,2.62,1.38,2.62,2.62,0,0,0,0.88,3,3.12,0,2,2.12,0,3.62,0,2.12,4,4,2.25,2.25,0,3.25,0,0,0,2.38,0,0,3.25,3.38,2,0,0,0,2.5,1,1.25,2,0.38,3.88,4,3.39,0.01,0.1,0.06,5.83,2.3,3.43,4.9,0.24,2.82,3.58,0.23,3.38,0.01,0.07,0.41,0.44,0.06,2.39,3.4,0.02,0.07,4.45,0.76,0.01,0.44,1.26,2.18,0.93,0.94,0.85,1.32,0.84,3.12,4,2.75,3,3.62,0,0,0,2.88,3,2.88,0.75,0.75,2.62,2,3.5,2.5,0.25,1.12,1.25,2.75,0.75,0.38,4,0,0.12,3,3.38,3.75,2.12,2.12,0.75,2.88,0,3.62,3,Business Management & Administration,BusinManAdmin
